# Wordlist

# DATA
ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	LANGUAGE_FAMILY	COGNACY	COGID	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES
18676	Uzbek	deep	čuḳur bor	čuḳur_bor	č/tʃ u ḳ/q u r + b o r	Turkic	2164	2164	1 7 1 7 5 9 1 7 5	AXBYN_AXN	TYKYR_PUR	95	95.T.C 95.Y.V 95.K.C 95.Y.V 95.R.c 95._._ 95.P.C 95.U.V 95.R.c	2.0 1.5 1.75 1.3 0.8 0.0 2.0 1.5 0.8	č/tʃuḳ/qur+bor	0
#
20700	Hachijo	die (v.)	marubu	marubu	m a r u b u	Japonic	2416	2416	4 7 5 7 1 7	AXBYBZ	MARYPY	22	22.M.C 22.A.V 22.R.C 22.Y.V 22.P.C 22.Y.V	2.0 1.5 1.75 1.3 1.75 0.8	marubu	0
20701	AmamiAsama	die (v.)	sɨnjuɴ bor	sɨnjuɴ_bor	s ɨ n j u ɴ + b o r	Japonic	2417	2417	3 7 4 6 7 4 9 1 7 5	AXBCYN_AXN	SINJYN_PUR	1	1.S.C 1.I.V 1.N.C 1.J.C 1.Y.V 1.N.c 1._._ 1.P.C 1.U.V 1.R.c	2.0 1.5 1.75 1.5 1.3 0.8 0.0 2.0 1.5 0.8	sɨnjuɴ+bor	0
20702	AmamiYamatohama	die (v.)	sinjuri bor	sinjuri_bor	s i n j u r i + b o r	Japonic	2417	2417	3 7 4 6 7 5 7 9 1 7 5	AXBCYBZ_AXN	SINJYRI_PUR	2	2.S.C 2.I.V 2.N.C 2.J.C 2.Y.V 2.R.C 2.I.V 2._._ 2.P.C 2.U.V 2.R.c	2.0 1.5 1.75 1.5 1.3 1.75 0.8 0.0 2.0 1.5 0.8	sinjuri+bor	0
20703	AmamiYoron	die (v.)	sinjuɴ bor	sinjuɴ_bor	s i n j u ɴ + b o r	Japonic	2417	2417	3 7 4 6 7 4 9 1 7 5	AXBCYN_AXN	SINJYN_PUR	3	3.S.C 3.I.V 3.N.C 3.J.C 3.Y.V 3.N.c 3._._ 3.P.C 3.U.V 3.R.c	2.0 1.5 1.75 1.5 1.3 0.8 0.0 2.0 1.5 0.8	sinjuɴ+bor	0
20704	Fukuoka	die (v.)	ɕinu, ɕinuru bor	ɕinu	ɕ i n u	Japonic	2417	2417	3 7 4 7	AXBZ	SINY	18	18.S.C 18.I.V 18.N.C 18.Y.V	2.0 1.5 1.75 0.8	ɕinu	0
20705	Japanese	die (v.)	sin- bor	sin-_bor	s i n + b o r	Japonic	2417	2417	3 7 4 9 1 7 5	AXN_AXN	SIN_PUR	26	26.S.C 26.I.V 26.N.c 26._._ 26.P.C 26.U.V 26.R.c	2.0 1.5 0.8 0.0 2.0 1.5 0.8	sin+bor	0
20706	Kagoshima	die (v.)	keɕin bor	keɕin_bor	k e ɕ i n + b o r	Japonic	2417	2417	1 7 3 7 4 9 1 7 5	AXBYN_AXN	KESIN_PUR	29	29.K.C 29.E.V 29.S.C 29.I.V 29.N.c 29._._ 29.P.C 29.U.V 29.R.c	2.0 1.5 1.75 1.3 0.8 0.0 2.0 1.5 0.8	keɕin+bor	0
20707	Koshikiislands	die (v.)	ɕinu bor	ɕinu_bor	ɕ i n u + b o r	Japonic	2417	2417	3 7 4 7 9 1 7 5	AXBZ_AXN	SINY_PUR	43	43.S.C 43.I.V 43.N.C 43.Y.V 43._._ 43.P.C 43.U.V 43.R.c	2.0 1.5 1.75 0.8 0.0 2.0 1.5 0.8	ɕinu+bor	0
20708	Kumamoto	die (v.)	ɕinuru bor	ɕinuru_bor	ɕ i n u r u + b o r	Japonic	2417	2417	3 7 4 7 5 7 9 1 7 5	AXBYBZ_AXN	SINYRY_PUR	44	44.S.C 44.I.V 44.N.C 44.Y.V 44.R.C 44.Y.V 44._._ 44.P.C 44.U.V 44.R.c	2.0 1.5 1.75 1.3 1.75 0.8 0.0 2.0 1.5 0.8	ɕinuru+bor	0
20709	MiyakoIrabu	die (v.)	sïniï, sïn bor	sïniï	s ï/ɨ n i ï/ɨ	Japonic	2417	2417	3 7 4 7 7	AXBYZ	SINII	53	53.S.C 53.I.V 53.N.C 53.I.V 53.I.V	2.0 1.5 1.75 1.3 0.8	sï/ɨniï/ɨ	0
20710	OkinawaShuri	die (v.)	sinuɴ bor	sinuɴ_bor	s i n u ɴ + b o r	Japonic	2417	2417	3 7 4 7 4 9 1 7 5	AXBYN_AXN	SINYN_PUR	68	68.S.C 68.I.V 68.N.C 68.Y.V 68.N.c 68._._ 68.P.C 68.U.V 68.R.c	2.0 1.5 1.75 1.3 0.8 0.0 2.0 1.5 0.8	sinuɴ+bor	0
20711	OkinawaYonamine	die (v.)	sinuɴ bor	sinuɴ_bor	s i n u ɴ + b o r	Japonic	2417	2417	3 7 4 7 4 9 1 7 5	AXBYN_AXN	SINYN_PUR	69	69.S.C 69.I.V 69.N.C 69.Y.V 69.N.c 69._._ 69.P.C 69.U.V 69.R.c	2.0 1.5 1.75 1.3 0.8 0.0 2.0 1.5 0.8	sinuɴ+bor	0
20712	OldJapanese	die (v.)	sin- bor	sin-_bor	s i n + b o r	Japonic	2417	2417	3 7 4 9 1 7 5	AXN_AXN	SIN_PUR	70	70.S.C 70.I.V 70.N.c 70._._ 70.P.C 70.U.V 70.R.c	2.0 1.5 0.8 0.0 2.0 1.5 0.8	sin+bor	0
20713	YaeyamaHatoma	die (v.)	sinuɴ bor	sinuɴ_bor	s i n u ɴ + b o r	Japonic	2417	2417	3 7 4 7 4 9 1 7 5	AXBYN_AXN	SINYN_PUR	98	98.S.C 98.I.V 98.N.C 98.Y.V 98.N.c 98._._ 98.P.C 98.U.V 98.R.c	2.0 1.5 1.75 1.3 0.8 0.0 2.0 1.5 0.8	sinuɴ+bor	0
20714	YaeyamaIshigaki	die (v.)	sïnuɴ bor	sïnuɴ_bor	s ï/ɨ n u ɴ + b o r	Japonic	2417	2417	3 7 4 7 4 9 1 7 5	AXBYN_AXN	SINYN_PUR	99	99.S.C 99.I.V 99.N.C 99.Y.V 99.N.c 99._._ 99.P.C 99.U.V 99.R.c	2.0 1.5 1.75 1.3 0.8 0.0 2.0 1.5 0.8	sï/ɨnuɴ+bor	0
20715	Yonaguni	die (v.)	nnírun bor	nnírun_bor	nː í/i r u n + b o r	Japonic	2417	2417	4 7 5 7 4 9 1 7 5	AXBYN_AXN	NIRYN_PUR	101	101.N.C 101.I.V 101.R.C 101.Y.V 101.N.c 101._._ 101.P.C 101.U.V 101.R.c	2.0 1.5 1.75 1.3 0.8 0.0 2.0 1.5 0.8	nːí/irun+bor	0
20716	Gangwon	die (v.)	cwuk-	cwuk-	c w u k	Koreanic	2418	2418	1 6 7 1	ACXN	CWYK	20	20.C.C 20.W.C 20.Y.V 20.K.c	2.0 1.5 1.5 0.8	cwuk	0
20717	Gyeonggi	die (v.)	cwuk-	cwuk-	c w u k	Koreanic	2418	2418	1 6 7 1	ACXN	CWYK	21	21.C.C 21.W.C 21.Y.V 21.K.c	2.0 1.5 1.5 0.8	cwuk	0
20718	Hwanghae	die (v.)	cwuk-	cwuk-	c w u k	Koreanic	2418	2418	1 6 7 1	ACXN	CWYK	25	25.C.C 25.W.C 25.Y.V 25.K.c	2.0 1.5 1.5 0.8	cwuk	0
20719	Jeju	die (v.)	cwuk-	cwuk-	c w u k	Koreanic	2418	2418	1 6 7 1	ACXN	CWYK	27	27.C.C 27.W.C 27.Y.V 27.K.c	2.0 1.5 1.5 0.8	cwuk	0
20720	Korean	die (v.)	cwuk-	cwuk-	c w u k	Koreanic	2418	2418	1 6 7 1	ACXN	CWYK	42	42.C.C 42.W.C 42.Y.V 42.K.c	2.0 1.5 1.5 0.8	cwuk	0
20721	LateMiddleKorean	die (v.)	cwuk-	cwuk-	c w u k	Koreanic	2418	2418	1 6 7 1	ACXN	CWYK	47	47.C.C 47.W.C 47.Y.V 47.K.c	2.0 1.5 1.5 0.8	cwuk	0
20722	NorthernChungcheong	die (v.)	cwuk-	cwuk-	c w u k	Koreanic	2418	2418	1 6 7 1	ACXN	CWYK	60	60.C.C 60.W.C 60.Y.V 60.K.c	2.0 1.5 1.5 0.8	cwuk	0
20723	NorthernGyeongsang	die (v.)	cwuk-	cwuk-	c w u k	Koreanic	2418	2418	1 6 7 1	ACXN	CWYK	63	63.C.C 63.W.C 63.Y.V 63.K.c	2.0 1.5 1.5 0.8	cwuk	0
20724	NorthernHamgyong	die (v.)	cwuk-	cwuk-	c w u k	Koreanic	2418	2418	1 6 7 1	ACXN	CWYK	64	64.C.C 64.W.C 64.Y.V 64.K.c	2.0 1.5 1.5 0.8	cwuk	0
20725	NorthernPyongan	die (v.)	cwuk-	cwuk-	c w u k	Koreanic	2418	2418	1 6 7 1	ACXN	CWYK	66	66.C.C 66.W.C 66.Y.V 66.K.c	2.0 1.5 1.5 0.8	cwuk	0
20726	SouthernChungcheong	die (v.)	cwuk-	cwuk-	c w u k	Koreanic	2418	2418	1 6 7 1	ACXN	CWYK	80	80.C.C 80.W.C 80.Y.V 80.K.c	2.0 1.5 1.5 0.8	cwuk	0
20727	SouthernGyeongsang	die (v.)	cwuk-	cwuk-	c w u k	Koreanic	2418	2418	1 6 7 1	ACXN	CWYK	83	83.C.C 83.W.C 83.Y.V 83.K.c	2.0 1.5 1.5 0.8	cwuk	0
20728	SouthernHamgyong	die (v.)	cwuk-	cwuk-	c w u k	Koreanic	2418	2418	1 6 7 1	ACXN	CWYK	84	84.C.C 84.W.C 84.Y.V 84.K.c	2.0 1.5 1.5 0.8	cwuk	0
20729	SouthernPyongan	die (v.)	cwuk-	cwuk-	c w u k	Koreanic	2418	2418	1 6 7 1	ACXN	CWYK	86	86.C.C 86.W.C 86.Y.V 86.K.c	2.0 1.5 1.5 0.8	cwuk	0
20730	NorthernJeolla	die (v.)	tweycita	tweycita	t w ey/ei c/ts i t a	Koreanic	2419	2419	1 6 7 2 7 1 7	ACXBYBZ	TWECITA	65	65.T.C 65.W.C 65.E.V 65.C.C 65.I.V 65.T.C 65.A.V	2.0 1.5 1.5 1.75 1.3 1.75 0.8	twey/eic/tsita	0
20731	SouthernJeolla	die (v.)	ticita	ticita	t i c/ts i t a	Koreanic	2419	2419	1 7 2 7 1 7	AXBYBZ	TICITA	85	85.T.C 85.I.V 85.C.C 85.I.V 85.T.C 85.A.V	2.0 1.5 1.75 1.3 1.75 0.8	tic/tsita	0
20732	EvenkiKamnigan	die (v.)	bu-(dən)	bu-	b u	Tungusic	2420	2420	1 7	AX	PY	17	17.P.C 17.Y.V	2.0 1.5	bu	0
20733	Hezhe	die (v.)	budə-	budə-	b u d ə	Tungusic	2420	2420	1 7 1 7	AXBZ	PYTE	23	23.P.C 23.Y.V 23.T.C 23.E.V	2.0 1.5 1.75 0.8	budə	0
20734	Jurchen	die (v.)	buči-	buči-	b u č/tʃ i	Tungusic	2420	2420	1 7 1 7	AXBZ	PYTI	28	28.P.C 28.Y.V 28.T.C 28.I.V	2.0 1.5 1.75 0.8	buč/tʃi	0
20735	Khalkha	die (v.)	bürle-	bürle-	b ü/y r l e	Mongolic	2420	2420	1 7 5 5 7	AXMBZ	PYRLE	40	40.P.C 40.Y.V 40.R.c 40.L.C 40.E.V	2.0 1.5 1.1 1.75 0.8	bü/yrle	0
20736	KurUrmi	die (v.)	budə-	budə-	b u d ə	Tungusic	2420	2420	1 7 1 7	AXBZ	PYTE	46	46.P.C 46.Y.V 46.T.C 46.E.V	2.0 1.5 1.75 0.8	budə	0
20737	Manchu	die (v.)	bučə-	bučə-	b u č/tʃ ə	Tungusic	2420	2420	1 7 1 7	AXBZ	PYTE	48	48.P.C 48.Y.V 48.T.C 48.E.V	2.0 1.5 1.75 0.8	buč/tʃə	0
20738	MiddleMongolianSecretHistory	die (v.)	burel-	burel-	b u r e l	Mongolic	2420	2420	1 7 5 7 5	AXBYN	PYREL	51	51.P.C 51.Y.V 51.R.C 51.E.V 51.L.c	2.0 1.5 1.75 1.3 0.8	burel	0
20739	NanaiBikin	die (v.)	budə-	budə-	b u d ə	Tungusic	2420	2420	1 7 1 7	AXBZ	PYTE	55	55.P.C 55.Y.V 55.T.C 55.E.V	2.0 1.5 1.75 0.8	budə	0
20740	NanaiMiddleAmur	die (v.)	bu(r)-	bu-	b u	Tungusic	2420	2420	1 7	AX	PY	56	56.P.C 56.Y.V	2.0 1.5	bu	0
20741	Negidal	die (v.)	bu- ~ bud-	bu-	b u	Tungusic	2420	2420	1 7	AX	PY	57	57.P.C 57.Y.V	2.0 1.5	bu	0
20742	NorthernEvenkiTura	die (v.)	bu-	bu-	b u	Tungusic	2420	2420	1 7	AX	PY	61	61.P.C 61.Y.V	2.0 1.5	bu	0
20743	NorthernEvenkiTutonchany	die (v.)	buː-	buː-	b uː	Tungusic	2420	2420	1 7	AX	PY	62	62.P.C 62.Y.V	2.0 1.5	buː	1
20744	Oroch	die (v.)	bu-	bu-	b u	Tungusic	2420	2420	1 7	AX	PY	72	72.P.C 72.Y.V	2.0 1.5	bu	0
20745	Orok	die (v.)	bu-	bu-	b u	Tungusic	2420	2420	1 7	AX	PY	73	73.P.C 73.Y.V	2.0 1.5	bu	0
20746	Oroqen	die (v.)	bu-	bu-	b u	Tungusic	2420	2420	1 7	AX	PY	74	74.P.C 74.Y.V	2.0 1.5	bu	0
20747	Solon	die (v.)	bud-	bud-	b u d	Tungusic	2420	2420	1 7 1	AXN	PYT	78	78.P.C 78.Y.V 78.T.c	2.0 1.5 0.8	bud	0
20748	SouthernEvenkiChiringda	die (v.)	bu-	bu-	b u	Tungusic	2420	2420	1 7	AX	PY	81	81.P.C 81.Y.V	2.0 1.5	bu	1
20749	StonyEvenkiPTPodkamennayaTunguska	die (v.)	bu-	bu-	b u	Tungusic	2420	2420	1 7	AX	PY	87	87.P.C 87.Y.V	2.0 1.5	bu	0
20750	Udihe	die (v.)	budə-	budə-	b u d ə	Tungusic	2420	2420	1 7 1 7	AXBZ	PYTE	92	92.P.C 92.Y.V 92.T.C 92.E.V	2.0 1.5 1.75 0.8	budə	0
20751	Ulcha	die (v.)	bulbu-	bulbu-	b u l b u	Tungusic	2420	2420	1 7 5 1 7	AXMBZ	PYLPY	93	93.P.C 93.Y.V 93.L.c 93.P.C 93.Y.V	2.0 1.5 1.1 1.75 0.8	bulbu	0
20752	Xibe	die (v.)	bəčə-	bəčə-	b ə č/tʃ ə	Tungusic	2420	2420	1 7 1 7	AXBZ	PETE	97	97.P.C 97.E.V 97.T.C 97.E.V	2.0 1.5 1.75 0.8	bəč/tʃə	0
20753	Even	die (v.)	koke-	koke-	k o k e	Tungusic	2421	2421	1 7 1 7	AXBZ	KUKE	16	16.K.C 16.U.V 16.K.C 16.E.V	2.0 1.5 1.75 0.8	koke	0
20754	Baoan	die (v.)	ħgu	ħgu	ħ g u	Mongolic	2422	2422	3 1 7	ACZ	HKY	5	5.H.C 5.K.C 5.Y.V	2.0 1.5 0.8	ħgu	0
20755	Buriat	die (v.)	üxe-	üxe-	ü/y x e	Mongolic	2422	2422	7 3 7	XBZ	YGE	8	8.Y.V 8.G.C 8.E.V	1.5 1.75 0.8	ü/yxe	0
20756	Dagur	die (v.)	ugu-	ugu-	u g u	Mongolic	2422	2422	7 1 7	XBZ	YKY	12	12.Y.V 12.K.C 12.Y.V	1.5 1.75 0.8	ugu	0
20757	Dongxian	die (v.)	fugu	fugu	f u g u	Mongolic	2422	2422	3 7 1 7	AXBZ	BYKY	14	14.B.C 14.Y.V 14.K.C 14.Y.V	2.0 1.5 1.75 0.8	fugu	0
20758	Huzhu	die (v.)	hugu	hugu	h u g u	Mongolic	2422	2422	3 7 1 7	AXBZ	HYKY	24	24.H.C 24.Y.V 24.K.C 24.Y.V	2.0 1.5 1.75 0.8	hugu	0
20759	Kalmyck	die (v.)	ük-	ük-	ü/y k	Mongolic	2422	2422	7 1	XN	YK	30	30.Y.V 30.K.c	1.5 0.8	ü/yk	0
20760	Kamnigan	die (v.)	ükö-	ükö-	ü/y k ö/œ	Mongolic	2422	2422	7 1 7	XBZ	YKU	31	31.Y.V 31.K.C 31.U.V	1.5 1.75 0.8	ü/ykö/œ	0
20761	Kangjia	die (v.)	gu	gu	g u	Mongolic	2422	2422	1 7	AX	KY	32	32.K.C 32.Y.V	2.0 1.5	gu	1
20762	Khalkha	die (v.)	üx-	üx-	ü/y x	Mongolic	2422	2422	7 3	XN	YG	40	40.Y.V 40.G.c	1.5 0.8	ü/yx	0
20763	MiddleMongolianMuqaddimataladab	die (v.)	ükü-	ükü-	ü/y k ü/y	Mongolic	2422	2422	7 1 7	XBZ	YKY	50	50.Y.V 50.K.C 50.Y.V	1.5 1.75 0.8	ü/ykü/y	0
20764	MiddleMongolianSecretHistory	die (v.)	uku-	uku-	u k u	Mongolic	2422	2422	7 1 7	XBZ	YKY	51	51.Y.V 51.K.C 51.Y.V	1.5 1.75 0.8	uku	0
20765	Minhe	die (v.)	fugu, hugu	fugu	f u g u	Mongolic	2422	2422	3 7 1 7	AXBZ	BYKY	52	52.B.C 52.Y.V 52.K.C 52.Y.V	2.0 1.5 1.75 0.8	fugu	0
20766	Moghol	die (v.)	ʉkʉ-	ʉkʉ-	ʉ k ʉ	Mongolic	2422	2422	7 1 7	XBZ	YKY	54	54.Y.V 54.K.C 54.Y.V	1.5 1.75 0.8	ʉkʉ	0
20767	Oirat	die (v.)	üke-	üke-	ü/y k e	Mongolic	2422	2422	7 1 7	XBZ	YKE	67	67.Y.V 67.K.C 67.E.V	1.5 1.75 0.8	ü/yke	0
20768	ShiraYughur	die (v.)	hgu	hgu	h g u	Mongolic	2422	2422	3 1 7	ACZ	HKY	76	76.H.C 76.K.C 76.Y.V	2.0 1.5 0.8	hgu	0
20769	Azeri	die (v.)	öl	öl	ö/œ l	Turkic	2423	2423	7 5	XN	UL	4	4.U.V 4.L.c	1.5 0.8	ö/œl	0
20770	BarabaTatar	die (v.)	öl-	öl-	ö/œ l	Turkic	2423	2423	7 5	XN	UL	6	6.U.V 6.L.c	1.5 0.8	ö/œl	0
20771	Bashkir	die (v.)	ül	ül	ü/y l	Turkic	2423	2423	7 5	XN	YL	7	7.Y.V 7.L.c	1.5 0.8	ü/yl	0
20772	Chuvash	die (v.)	vil	vil	v i l	Turkic	2423	2423	3 7 5	AXN	BIL	9	9.B.C 9.I.V 9.L.c	2.0 1.5 0.8	vil	0
20773	CodexCumanicus	die (v.)	ol-	ol-	o l	Turkic	2423	2423	7 5	XN	UL	10	10.U.V 10.L.c	1.5 0.8	ol	1
20774	CrimeanTatar	die (v.)	öl	öl	ö/œ l	Turkic	2423	2423	7 5	XN	UL	11	11.U.V 11.L.c	1.5 0.8	ö/œl	0
20775	Dolgan	die (v.)	öl	öl	ö/œ l	Turkic	2423	2423	7 5	XN	UL	13	13.U.V 13.L.c	1.5 0.8	ö/œl	0
20776	Gagauz	die (v.)	öl	öl	ö/œ l	Turkic	2423	2423	7 5	XN	UL	19	19.U.V 19.L.c	1.5 0.8	ö/œl	0
20777	KarachayBalkar	die (v.)	öl	öl	ö/œ l	Turkic	2423	2423	7 5	XN	UL	33	33.U.V 33.L.c	1.5 0.8	ö/œl	0
20778	Karaim	die (v.)	öl	öl	ö/œ l	Turkic	2423	2423	7 5	XN	UL	34	34.U.V 34.L.c	1.5 0.8	ö/œl	0
20779	KaraKalpak	die (v.)	öl	öl	ö/œ l	Turkic	2423	2423	7 5	XN	UL	35	35.U.V 35.L.c	1.5 0.8	ö/œl	0
20780	Kazakh	die (v.)	öl	öl	ö/œ l	Turkic	2423	2423	7 5	XN	UL	36	36.U.V 36.L.c	1.5 0.8	ö/œl	0
20781	KazanTatar	die (v.)	ül	ül	ü/y l	Turkic	2423	2423	7 5	XN	YL	37	37.Y.V 37.L.c	1.5 0.8	ü/yl	0
20782	Khakas	die (v.)	öl	öl	ö/œ l	Turkic	2423	2423	7 5	XN	UL	38	38.U.V 38.L.c	1.5 0.8	ö/œl	1
20783	Kirghiz	die (v.)	öl	öl	ö/œ l	Turkic	2423	2423	7 5	XN	UL	41	41.U.V 41.L.c	1.5 0.8	ö/œl	0
20784	Kumyk	die (v.)	öl	öl	ö/œ l	Turkic	2423	2423	7 5	XN	UL	45	45.U.V 45.L.c	1.5 0.8	ö/œl	0
20785	MiddleChulym	die (v.)	öl	öl	ö/œ l	Turkic	2423	2423	7 5	XN	UL	49	49.U.V 49.L.c	1.5 0.8	ö/œl	0
20786	Nogai	die (v.)	öl	öl	ö/œ l	Turkic	2423	2423	7 5	XN	UL	58	58.U.V 58.L.c	1.5 0.8	ö/œl	0
20787	NorthAltai	die (v.)	öl-	öl-	ö/œ l	Turkic	2423	2423	7 5	XN	UL	59	59.U.V 59.L.c	1.5 0.8	ö/œl	0
20788	OldTurkic	die (v.)	öl	öl	ö/œ l	Turkic	2423	2423	7 5	XN	UL	71	71.U.V 71.L.c	1.5 0.8	ö/œl	0
20789	Salar	die (v.)	ul	ul	u l	Turkic	2423	2423	7 5	XN	YL	75	75.Y.V 75.L.c	1.5 0.8	ul	0
20790	Shor	die (v.)	öl	öl	ö/œ l	Turkic	2423	2423	7 5	XN	UL	77	77.U.V 77.L.c	1.5 0.8	ö/œl	1
20791	SouthAltai	die (v.)	öl	öl	ö/œ l	Turkic	2423	2423	7 5	XN	UL	79	79.U.V 79.L.c	1.5 0.8	ö/œl	0
20792	Tofa	die (v.)	öl	öl	ö/œ l	Turkic	2423	2423	7 5	XN	UL	88	88.U.V 88.L.c	1.5 0.8	ö/œl	1
20793	Turkish	die (v.)	öl	öl	ö/œ l	Turkic	2423	2423	7 5	XN	UL	89	89.U.V 89.L.c	1.5 0.8	ö/œl	0
20794	Turkmen	die (v.)	öl	öl	ö/œ l	Turkic	2423	2423	7 5	XN	UL	90	90.U.V 90.L.c	1.5 0.8	ö/œl	1
20795	Tuvan	die (v.)	öl	öl	ö/œ l	Turkic	2423	2423	7 5	XN	UL	91	91.U.V 91.L.c	1.5 0.8	ö/œl	1
20796	Uyghur	die (v.)	öl	öl	ö/œ l	Turkic	2423	2423	7 5	XN	UL	94	94.U.V 94.L.c	1.5 0.8	ö/œl	0
20797	Uzbek	die (v.)	ọl	ọl	ọ/o l	Turkic	2423	2423	7 5	XN	UL	95	95.U.V 95.L.c	1.5 0.8	ọ/ol	0
20798	WestYugur	die (v.)	yul, (yül, öl)	yul	y/j u l	Turkic	2423	2423	6 7 5	AXN	JYL	96	96.J.C 96.Y.V 96.L.c	2.0 1.5 0.8	y/jul	0
20799	Yakut	die (v.)	öl	öl	ö/œ l	Turkic	2423	2423	7 5	XN	UL	100	100.U.V 100.L.c	1.5 0.8	ö/œl	0
#
14241	AmamiAsama	dig (v.)	hujuɴ	hujuɴ	h u j u ɴ	Japonic	1607	1607	3 7 6 7 4	AXBYN	HYJYN	1	1.H.C 1.Y.V 1.J.C 1.Y.V 1.N.c	2.0 1.5 1.75 1.3 0.8	hujuɴ	0
14242	AmamiYamatohama	dig (v.)	hururi	hururi	h u r u r i	Japonic	1607	1607	3 7 5 7 5 7	AXBYBZ	HYRYRI	2	2.H.C 2.Y.V 2.R.C 2.Y.V 2.R.C 2.I.V	2.0 1.5 1.75 1.3 1.75 0.8	hururi	0
14243	AmamiYoron	dig (v.)	pujuɴ	pujuɴ	p u j u ɴ	Japonic	1607	1607	1 7 6 7 4	AXBYN	PYJYN	3	3.P.C 3.Y.V 3.J.C 3.Y.V 3.N.c	2.0 1.5 1.75 1.3 0.8	pujuɴ	0
14244	Fukuoka	dig (v.)	horu	horu	h o r u	Japonic	1607	1607	3 7 5 7	AXBZ	HURY	18	18.H.C 18.U.V 18.R.C 18.Y.V	2.0 1.5 1.75 0.8	horu	0
14245	Hachijo	dig (v.)	horu	horu	h o r u	Japonic	1607	1607	3 7 5 7	AXBZ	HURY	22	22.H.C 22.U.V 22.R.C 22.Y.V	2.0 1.5 1.75 0.8	horu	0
14246	Japanese	dig (v.)	hor-	hor-	h o r	Japonic	1607	1607	3 7 5	AXN	HUR	26	26.H.C 26.U.V 26.R.c	2.0 1.5 0.8	hor	0
14247	Kagoshima	dig (v.)	hoʔ	hoʔ	h o ʔ	Japonic	1607	1607	3 7 1	AXN	HUH	29	29.H.C 29.U.V 29.H.c	2.0 1.5 0.8	hoʔ	0
14248	Koshikiislands	dig (v.)	horu	horu	h o r u	Japonic	1607	1607	3 7 5 7	AXBZ	HURY	43	43.H.C 43.U.V 43.R.C 43.Y.V	2.0 1.5 1.75 0.8	horu	0
14249	Kumamoto	dig (v.)	horu	horu	h o r u	Japonic	1607	1607	3 7 5 7	AXBZ	HURY	44	44.H.C 44.U.V 44.R.C 44.Y.V	2.0 1.5 1.75 0.8	horu	0
14250	MiyakoIrabu	dig (v.)	puï	puï	p u ï/ɨ	Japonic	1607	1607	1 7 7	AXZ	PYI	53	53.P.C 53.Y.V 53.I.V	2.0 1.5 0.8	puï/ɨ	0
14251	OkinawaShuri	dig (v.)	hujuɴ	hujuɴ	h u j u ɴ	Japonic	1607	1607	3 7 6 7 4	AXBYN	HYJYN	68	68.H.C 68.Y.V 68.J.C 68.Y.V 68.N.c	2.0 1.5 1.75 1.3 0.8	hujuɴ	0
14252	OkinawaYonamine	dig (v.)	puɴ	puɴ	p u ɴ	Japonic	1607	1607	1 7 4	AXN	PYN	69	69.P.C 69.Y.V 69.N.c	2.0 1.5 0.8	puɴ	0
14253	OldJapanese	dig (v.)	por-	por-	p o r	Japonic	1607	1607	1 7 5	AXN	PUR	70	70.P.C 70.U.V 70.R.c	2.0 1.5 0.8	por	0
14254	YaeyamaHatoma	dig (v.)	puruɴ	puruɴ	p u r u ɴ	Japonic	1607	1607	1 7 5 7 4	AXBYN	PYRYN	98	98.P.C 98.Y.V 98.R.C 98.Y.V 98.N.c	2.0 1.5 1.75 1.3 0.8	puruɴ	0
14255	YaeyamaIshigaki	dig (v.)	puruɴ ~ huruɴ	puruɴ	p u r u ɴ	Japonic	1607	1607	1 7 5 7 4	AXBYN	PYRYN	99	99.P.C 99.Y.V 99.R.C 99.Y.V 99.N.c	2.0 1.5 1.75 1.3 0.8	puruɴ	0
14256	Yonaguni	dig (v.)	hùrun	hùrun	h ù/u r u n	Japonic	1607	1607	3 7 5 7 4	AXBYN	HYRYN	101	101.H.C 101.Y.V 101.R.C 101.Y.V 101.N.c	2.0 1.5 1.75 1.3 0.8	hù/urun	0
14257	Gangwon	dig (v.)	pha-	pha-	pʰ a	Koreanic	1608	1608	1 7	AX	PA	20	20.P.C 20.A.V	2.0 1.5	pʰa	0
14258	Gyeonggi	dig (v.)	pha-	pha-	pʰ a	Koreanic	1608	1608	1 7	AX	PA	21	21.P.C 21.A.V	2.0 1.5	pʰa	0
14259	Hwanghae	dig (v.)	pha-	pha-	pʰ a	Koreanic	1608	1608	1 7	AX	PA	25	25.P.C 25.A.V	2.0 1.5	pʰa	0
14260	Jeju	dig (v.)	pha-	pha-	pʰ a	Koreanic	1608	1608	1 7	AX	PA	27	27.P.C 27.A.V	2.0 1.5	pʰa	0
14261	Korean	dig (v.)	pha-	pha-	pʰ a	Koreanic	1608	1608	1 7	AX	PA	42	42.P.C 42.A.V	2.0 1.5	pʰa	0
14262	LateMiddleKorean	dig (v.)	pho-	pho-	pʰ o	Koreanic	1608	1608	1 7	AX	PU	47	47.P.C 47.U.V	2.0 1.5	pʰo	0
14263	NorthernChungcheong	dig (v.)	pha-	pha-	pʰ a	Koreanic	1608	1608	1 7	AX	PA	60	60.P.C 60.A.V	2.0 1.5	pʰa	0
14264	NorthernGyeongsang	dig (v.)	pha-	pha-	pʰ a	Koreanic	1608	1608	1 7	AX	PA	63	63.P.C 63.A.V	2.0 1.5	pʰa	0
